,molecule,engine,temperature,pressure,ensemble,forcefield_name,cutoff_style,long_range_correction,r_cut,pressure-avg,pressure-std,pressure-sem,temperature-avg,temperature-std,temperature-sem,potential_energy-avg,potential_energy-std,potential_energy-sem,density-avg,density-std,density-sem
0,ethanolAA,gromacs,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,4.843282292066061,13.712756658784008,3.428189164696002,319.8734844549492,0.2209578709615165,0.055239467740379126,-3677.1930138599964,17.146934877413035,4.286733719353259,0.7736717459433223,0.00037667314182095104,9.416828545523776e-05
1,waterSPCE,gomc,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,244.26521875101415,486.27808815879854,121.56952203969963,280.0,0.0,0.0,-6340788.739425104,3976.241470428791,994.0603676071978,1.0068742335552554,0.001648215174777416,0.000412053793694354
2,waterSPCE,lammps-VU,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,0.24117318493603568,1.0560145283327973,0.2640036320831993,299.9938962449082,0.10987861151377616,0.02746965287844404,-51251.899921556105,3.6469014841772656,0.9117253710443164,0.9980337444024185,0.0001556803220753797,3.892008051884493e-05
3,ethanolAA,mcccs,300.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,145.61546090485416,152.87990171580677,38.21997542895169,300.0,0.0,0.0,-9624.870357183845,21.492766343197047,5.373191585799262,0.7914208917911246,0.0008449374841369361,0.00021123437103423402
4,waterSPCE,hoomd,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,119.41776305496242,252.65795219868875,63.16448804967219,319.99249746332805,0.03920352224026088,0.00980088056006522,-50013.4844547619,1.8785149423595273,0.46962873558988183,0.9862010961303654,6.294108380510318e-05,1.5735270951275794e-05
5,ethanolAA,mcccs,280.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,9.334534096960937,262.56912429514097,65.64228107378524,280.0,0.0,0.0,-10993.896435283532,22.78806346124259,5.6970158653106475,0.8127309012571694,0.0009879992936392664,0.0002469998234098166
6,waterSPCE,lammps-VU,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,-0.2738331965223292,0.7702602115991498,0.19256505289978745,280.0319273367868,0.07414120057878668,0.01853530014469667,-52632.201070114905,4.595596675720584,1.148899168930146,1.0068703746677388,0.00019301764270053862,4.8254410675134655e-05
7,pentaneUA-constrain_bonds,gomc,372.0,1402.0,NPT,trappe-ua,hard,energy_pressure,1.4,1402.1451191031786,122.33555496765892,30.58388874191473,372.0,0.0,0.0,-289476.5306132031,695.9399642321441,173.98499105803603,0.540849320879125,0.0005165323368682392,0.0001291330842170598
8,pentaneUA-flexible_bonds,gromacs,372.0,1402.0,NPT,trappe-ua,hard,energy_pressure,1.4,15.694287221113745,8.76133483613519,2.1903337090337973,372.01296555264145,0.0911251390329177,0.022781284758229426,-500.1401069183823,11.062545438199734,2.7656363595499336,0.5340092013808542,0.0011920816750553582,0.00029802041876383955
9,pentaneUA-constrain_bonds,gromacs,372.0,1402.0,NPT,trappe-ua,hard,energy_pressure,1.4,13.719782841107865,2.4999849573567596,0.6249962393391899,371.96862981453387,0.12374673503118365,0.030936683757795912,-2424.841930856993,3.7319849756230785,0.9329962439057696,0.5419106091623472,0.00029295398113316184,7.323849528329046e-05
10,waterSPCE,cassandra,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,1293.3043386698992,417.36484527125964,104.34121131781491,300.0,0.0,0.0,-51379.15346841146,42.316777614883044,10.579194403720761,0.9977600488186458,0.0015610423999860754,0.00039026059999651885
11,waterSPCE,lammps-VU,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,0.2582995697808517,0.8425285676795808,0.2106321419198952,320.0475587779906,0.12068547636449048,0.03017136909112262,-49918.16003282364,5.552253493745803,1.3880633734364507,0.9863193129680174,0.0001560741854187376,3.90185463546844e-05
12,waterSPCE,mcccs,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,40.94032430123439,290.9237632548933,72.73094081372332,300.0,0.0,0.0,-51372.92750162074,24.836035102320796,6.209008775580199,0.9977080406908346,0.0014884298105417109,0.0003721074526354277
13,ethanolAA,lammps-VU,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,0.05009234221055181,1.1547293742148055,0.28868234355370137,320.00797192867907,0.0505905301816974,0.01264763254542435,-3107.1879760350184,7.59893947778585,1.8997348694464624,0.7738857319469004,0.00028086413721301626,7.021603430325406e-05
14,waterSPCE,mcccs,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,303.3844435841953,345.6969729445008,86.4242432361252,320.0,0.0,0.0,-50038.08679541565,17.80000131156517,4.450000327891292,0.9861366533115048,0.000903129261056718,0.0002257823152641795
15,benzeneUA,hoomd,450.0,2260.0,NPT,benzene-ua,hard,energy_pressure,1.4,2278.5761179563824,93.4576255931064,23.3644063982766,449.9833133762379,0.09251330183686511,0.023128325459216278,-8288.07309498214,1.3672264704375614,0.34180661760939035,0.699154497647805,9.886455191325855e-05,2.4716137978314638e-05
16,ethanolAA,lammps-VU,280.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,82.06253368842634,316.03484920574937,79.00871230143734,280.01365745583473,0.04748751556388501,0.011871878890971252,-6553.124745968517,7.681125403381469,1.9202813508453673,0.8159397273704785,0.00028815602846081896,7.203900711520474e-05
17,ethanolAA,cassandra,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,1634.8622611289443,283.28092659352745,70.82023164838186,320.0,0.0,0.0,-8211.544145572916,24.794962810425634,6.1987407026064085,0.7687202859646355,0.0008468373536246669,0.00021170933840616672
18,waterSPCE,gromacs,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,0.8011580011268256,4.899004434525583,1.2247511086313958,279.99071443111893,0.09048302222311,0.0226207555557775,-52755.654337101325,3.0649767707738427,0.7662441926934607,1.0067314775410092,0.0001433758029544535,3.5843950738613375e-05
19,benzeneUA,cassandra,450.0,2260.0,NPT,benzene-ua,hard,energy_pressure,1.4,2235.812474062985,116.1144865920127,29.028621648003174,450.0,0.0,0.0,-8279.860781446354,10.994613044795699,2.7486532611989247,0.6984355226084895,0.0009722288849456309,0.00024305722123640772
20,pentaneUA-flexible_bonds,hoomd,372.0,1402.0,NPT,trappe-ua,hard,energy_pressure,1.4,1289.6930188936503,319.778438436863,79.94460960921575,371.98338992635604,0.05317306815480775,0.013293267038701937,-342.47098063711303,3.778459912830272,0.944614978207568,0.5172186182304973,0.00048029371578513897,0.00012007342894628474
21,ethanolAA,gomc,300.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,189.33884519343806,160.73121090962596,40.18280272740649,300.0,0.0,0.0,-1153163.4855680207,4151.372410961057,1037.8431027402642,0.7913484722631563,0.0013261621823414586,0.00033154054558536466
