,molecule,engine,temperature,pressure,ensemble,forcefield_name,cutoff_style,long_range_correction,r_cut,pressure-avg,pressure-std,pressure-sem,temperature-avg,temperature-std,temperature-sem,potential_energy-avg,potential_energy-std,potential_energy-sem,density-avg,density-std,density-sem
0,waterSPCE,lammps-VU,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,-0.1509805397127645,0.7858486196405834,0.19646215491014585,299.9970894456608,0.14476466309077857,0.03619116577269464,-51255.23360703171,5.150219028425931,1.2875547571064827,0.9980310721507851,0.00025009786927833276,6.252446731958319e-05
1,waterSPCE,cassandra,300.0,101.325,NPT,spce,shift,None,0.9,1153.043486610262,446.1724276918605,111.54310692296512,300.0,0.0,0.0,-50739.482719651045,43.94243874988303,10.985609687470758,0.9852123522663541,0.0013654610051015712,0.0003413652512753928
2,waterSPCE,mcccs,300.0,101.325,NPT,spce,hard,None,0.9,171.68324082669278,226.10849243254992,56.52712310813748,0.0,0.0,0.0,-51052.63619606353,22.803626643275404,5.700906660818851,0.991177522289498,0.001736158919728606,0.0004340397299321515
3,waterSPCE,cassandra,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,1272.317214506584,335.77051144555816,83.94262786138954,300.0,0.0,0.0,-51378.98020738021,38.055106978439,9.51377674460975,0.9972657316848437,0.0016080890557002819,0.00040202226392507047
4,waterSPCE,mcccs,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,397.13460629117196,328.8253334149417,82.20633335373543,0.0,0.0,0.0,-51375.21556922955,26.833304797988227,6.708326199497057,0.9978819007862325,0.0012175552512517411,0.0003043888128129353
5,waterSPCE,lammps-VU,300.0,101.325,NPT,spce,shift,None,0.9,0.3313992730177979,1.0088632485565407,0.2522158121391352,300.0452670621677,0.18356844165544947,0.04589211041386237,-50625.2926305272,7.607115836710312,1.901778959177578,0.985395530768199,0.00024001662827407294,6.0004157068518236e-05
6,methaneUA,gomc,140.0,1318.0,NPT,trappe-ua,shift,None,1.4,1338.090789108224,47.44891489465209,11.862228723663023,140.0,0.0,0.0,-5264.114615088378,2.935070135679524,0.733767533919881,0.3630980830251458,0.00018387167052644795,4.596791763161199e-05
7,waterSPCE,gromacs,300.0,101.325,NPT,spce,shift,None,0.9,-0.20011066253623155,5.532601782965412,1.383150445741353,300.01532216869305,0.1242743259131916,0.0310685814782979,-50750.2589642331,4.214734226855809,1.0536835567139522,985.2188393174104,0.10866659915589631,0.027166649788974078
8,waterSPCE,gromacs,300.0,101.325,NPT,spce,hard,None,0.9,0.20713669564860604,6.61810112586386,1.654525281465965,299.98817105506066,0.13499074260778582,0.033747685651946455,-51017.88645742576,3.126214054449761,0.7815535136124403,985.2054760790179,0.10704804452545795,0.026762011131364487
9,methaneUA,lammps-VU,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1.3727125266159015,0.1451022781692951,0.03627556954232378,140.0187312234737,0.06909822894426526,0.017274557236066315,-5699.011530679262,0.8883769467881574,0.22209423669703934,0.37597173850147536,5.600563041526528e-05,1.400140760381632e-05
10,methaneUA,lammps-VU,140.0,1318.0,NPT,trappe-ua,shift,None,1.4,1.2680176276300292,0.12241659676119342,0.030604149190298354,140.0143560919376,0.10115956675323096,0.02528989168830774,-5265.960822932459,1.8574394503589453,0.4643598625897363,0.36318175505313055,0.00015159237979998715,3.789809494999679e-05
11,methaneUA,cassandra,140.0,1318.0,NPT,trappe-ua,shift,None,1.4,1339.5289373820551,56.45423843317584,14.11355960829396,140.0,0.0,0.0,-5264.770001871355,2.4753694888659554,0.6188423722164889,0.36312935467182295,0.00017174715123085036,4.293678780771259e-05
12,waterSPCE,mcccs,300.0,101.325,NPT,spce,shift,None,0.9,247.23502657691145,350.93537772630475,87.73384443157619,0.0,0.0,0.0,-50753.40704446533,28.74945683549403,7.1873642088735075,0.9852295925215547,0.0013718979072747943,0.0003429744768186986
13,methaneUA,hoomd,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,0.7867162565113803,0.020332968717299137,0.005083242179324784,1.1640076575973983,0.000187216019483709,4.680400487092725e-05,-5699.00464592928,1.0171065819443827,0.2542766454860957,0.37589864189285893,5.226277959043876e-05,1.306569489760969e-05
14,methaneUA,gromacs,140.0,1318.0,NPT,trappe-ua,shift,None,1.4,13.356433880129211,1.0655409134951215,0.26638522837378037,139.99439696767053,0.043861900380054206,0.010965475095013551,-5265.264978305697,1.3787293076836558,0.34468232692091394,363.2134483835927,0.052558469835977485,0.013139617458994371
15,methaneUA,gomc,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1301.8142202837184,58.83067447549488,14.70766861887372,140.0,0.0,0.0,-5696.187140566962,1.7294264204217387,0.43235660510543467,0.3757889993377083,0.00011691176661201252,2.922794165300313e-05
16,waterSPCE,hoomd,300.0,101.325,NPT,spce,shift,None,0.9,0.08578645736058219,0.2040814043665559,0.05102035109163897,2.4904549029963183,0.00028948344543665235,7.237086135916309e-05,289420.3501681421,3.2438963459649752,0.8109740864912438,0.9850251627490361,0.00011577782348493264,2.894445587123316e-05
17,methaneUA,mcccs,140.0,1318.0,NPT,trappe-ua,shift,None,1.4,1305.4474711395253,41.47644938175484,10.36911234543871,0.0,0.0,0.0,-5264.128086238125,1.9038162520432877,0.47595406301082194,0.3630350892001802,0.0001212090030878139,3.0302250771953474e-05
18,waterSPCE,gromacs,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,4.03910232740801,5.527729609728306,1.3819324024320765,300.05700638968165,0.08214993452177427,0.020537483630443568,-51381.51490320619,4.498854981119017,1.1247137452797542,997.9459315356165,0.12746837282174253,0.03186709320543563
19,waterSPCE,gomc,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,311.77163008440954,506.6753929348964,126.6688482337241,300.0,0.0,0.0,-51329.843887842755,19.757314399871458,4.939328599967864,0.9978894387430572,0.0011934955590653358,0.00029837388976633396
20,methaneUA,hoomd,140.0,1318.0,NPT,trappe-ua,shift,None,1.4,0.8079622747536135,0.028562633486537235,0.007140658371634309,1.163856442066888,0.00023734093367856955,5.9335233419642386e-05,-5265.203508314347,1.1799630566366124,0.2949907641591531,0.3630860474131072,6.437412614833129e-05,1.6093531537082822e-05
21,waterSPCE,lammps-VU,300.0,101.325,NPT,spce,hard,None,0.9,-0.177255187405948,0.9461465483052843,0.23653663707632108,300.0253683175254,0.1308042220445002,0.03270105551112505,-50888.43145344159,6.05078289543472,1.51269572385868,0.9851948229929142,0.0001922182890572879,4.805457226432197e-05
22,methaneUA,hoomd,140.0,1318.0,NPT,trappe-ua,hard,None,1.4,0.7898186588196778,0.01923623935462725,0.0048090598386568125,1.1640591590609708,0.00020191846998966265,5.047961749741566e-05,-5388.702179351528,1.2835274724982781,0.32088186812456954,0.3630900852370005,7.118455026391892e-05,1.779613756597973e-05
23,waterSPCE,hoomd,300.0,101.325,NPT,spce,hard,None,0.9,0.07081292111848496,0.25131573440044197,0.06282893360011049,2.490369887139325,0.0004485023435423545,0.00011212558588558862,292708.32879358623,13771.624834893522,3442.9062087233806,0.9850467515460609,0.00012196074036983267,3.0490185092458167e-05
24,methaneUA,lammps-VU,140.0,1318.0,NPT,trappe-ua,hard,None,1.4,1.2953129893697441,0.12100911375426371,0.030252278438565927,139.9844961726731,0.10233482352643827,0.02558370588160957,-5389.202315957453,1.5125564858254956,0.3781391214563739,0.3631960501235348,0.00011574237068743155,2.8935592671857887e-05
25,methaneUA,cassandra,140.0,1318.0,NPT,trappe-ua,hard,None,1.4,4523.753965357259,23.96455729786864,5.99113932446716,140.0,0.0,0.0,-5480.570248292188,2.698345283219163,0.6745863208047908,0.36963363179677083,0.00018134353425697686,4.5335883564244216e-05
26,methaneUA,gromacs,140.0,1318.0,NPT,trappe-ua,hard,None,1.4,12.976991479351005,1.2762453374643787,0.3190613343660947,139.99007799174797,0.034406485735675896,0.008601621433918974,-5389.053654435968,1.5366872264417581,0.38417180661043954,363.2229413074614,0.07282285760002048,0.01820571440000512
27,methaneUA,cassandra,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1292.1047136521488,31.592770246951666,7.8981925617379165,140.0,0.0,0.0,-5695.189620521354,2.915553296563871,0.7288883241409677,0.3757235620453125,0.0001751962404427804,4.37990601106951e-05
28,waterSPCE,gomc,300.0,101.325,NPT,spce,hard,None,0.9,13860.036002175635,321.5095543110041,80.37738857775102,300.0,0.0,0.0,-51007.466948025125,26.969415952621322,6.7423539881553305,0.991076430583276,0.001116625509810386,0.0002791563774525965
29,waterSPCE,hoomd,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,0.062242747697425056,0.30868664117522093,0.07717166029380523,2.490325575191304,0.0003257589561504161,8.143973903760403e-05,288790.4669418671,4.653950680613491,1.1634876701533727,0.9977018041122849,0.0001277476617897775,3.193691544744437e-05
30,methaneUA,gomc,140.0,1318.0,NPT,trappe-ua,hard,None,1.4,4544.362414991447,63.6298015503907,15.907450387597676,140.0,0.0,0.0,-5480.949307654307,2.0494727849842245,0.5123681962460561,0.3696602919494323,0.00013054514959435446,3.2636287398588615e-05
31,methaneUA,mcccs,140.0,1318.0,NPT,trappe-ua,hard,None,1.4,1285.9551109414315,28.774248219347133,7.193562054836783,0.0,0.0,0.0,-5481.693325803309,2.2296700733255945,0.5574175183313986,0.3696369973130581,0.00014308831425005624,3.577207856251406e-05
32,waterSPCE,gomc,300.0,101.325,NPT,spce,shift,None,0.9,231.9995496245635,408.0279570103748,102.0069892525937,300.0,0.0,0.0,-50693.48914773585,20.37376099754971,5.093440249387427,0.9850357216626145,0.0011864648846318271,0.0002966162211579568
33,methaneUA,mcccs,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1285.4831025069896,37.20743432388115,9.301858580970288,0.0,0.0,0.0,-5695.738792702148,3.029363327288005,0.7573408318220013,0.375689094537191,0.00018367938450319313,4.5919846125798284e-05
34,methaneUA,gromacs,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,13.550360621789387,1.0588568058113574,0.26471420145283936,140.00177761240172,0.02996504403395114,0.007491261008487785,-5698.645560366401,1.8196066632547385,0.45490166581368463,375.9625421345122,0.07281431277824366,0.018203578194560914
35,waterSPCE,cassandra,300.0,101.325,NPT,spce,hard,None,0.9,15026.779133365915,376.2144828340523,94.05362070851308,300.0,0.0,0.0,-51055.39634411459,33.35309306157132,8.33827326539283,0.9915271900522395,0.0018012089221240508,0.0004503022305310127
