,molecule,engine,temperature,pressure,ensemble,forcefield_name,cutoff_style,long_range_correction,r_cut,pressure-avg,pressure-std,pressure-sem,temperature-avg,temperature-std,temperature-sem,potential_energy-avg,potential_energy-std,potential_energy-sem,density-avg,density-std,density-sem
6,methaneUA,gomc,140.0,1318.0,NPT,trappe-ua,shift,None,1.4,1338.090789108224,47.44891489465209,11.862228723663023,140.0,0.0,0.0,-5264.114615088378,2.935070135679524,0.733767533919881,0.3630980830251458,0.00018387167052644795,4.596791763161199e-05
9,methaneUA,lammps-VU,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1.3727125266159015,0.1451022781692951,0.03627556954232378,140.0187312234737,0.06909822894426526,0.017274557236066315,-5699.011530679262,0.8883769467881574,0.22209423669703934,0.37597173850147536,5.600563041526528e-05,1.400140760381632e-05
10,methaneUA,lammps-VU,140.0,1318.0,NPT,trappe-ua,shift,None,1.4,1.2680176276300292,0.12241659676119342,0.030604149190298354,140.0143560919376,0.10115956675323096,0.02528989168830774,-5265.960822932459,1.8574394503589453,0.4643598625897363,0.36318175505313055,0.00015159237979998715,3.789809494999679e-05
11,methaneUA,cassandra,140.0,1318.0,NPT,trappe-ua,shift,None,1.4,1339.5289373820551,56.45423843317584,14.11355960829396,140.0,0.0,0.0,-5264.770001871355,2.4753694888659554,0.6188423722164889,0.36312935467182295,0.00017174715123085036,4.293678780771259e-05
13,methaneUA,hoomd,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,0.7867162565113803,0.020332968717299137,0.005083242179324784,1.1640076575973983,0.000187216019483709,4.680400487092725e-05,-5699.00464592928,1.0171065819443827,0.2542766454860957,0.37589864189285893,5.226277959043876e-05,1.306569489760969e-05
14,methaneUA,gromacs,140.0,1318.0,NPT,trappe-ua,shift,None,1.4,13.356433880129211,1.0655409134951215,0.26638522837378037,139.99439696767053,0.043861900380054206,0.010965475095013551,-5265.264978305697,1.3787293076836558,0.34468232692091394,363.2134483835927,0.052558469835977485,0.013139617458994371
15,methaneUA,gomc,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1301.8142202837184,58.83067447549488,14.70766861887372,140.0,0.0,0.0,-5696.187140566962,1.7294264204217387,0.43235660510543467,0.3757889993377083,0.00011691176661201252,2.922794165300313e-05
17,methaneUA,mcccs,140.0,1318.0,NPT,trappe-ua,shift,None,1.4,1305.4474711395253,41.47644938175484,10.36911234543871,0.0,0.0,0.0,-5264.128086238125,1.9038162520432877,0.47595406301082194,0.3630350892001802,0.0001212090030878139,3.0302250771953474e-05
20,methaneUA,hoomd,140.0,1318.0,NPT,trappe-ua,shift,None,1.4,0.8079622747536135,0.028562633486537235,0.007140658371634309,1.163856442066888,0.00023734093367856955,5.9335233419642386e-05,-5265.203508314347,1.1799630566366124,0.2949907641591531,0.3630860474131072,6.437412614833129e-05,1.6093531537082822e-05
22,methaneUA,hoomd,140.0,1318.0,NPT,trappe-ua,hard,None,1.4,0.7898186588196778,0.01923623935462725,0.0048090598386568125,1.1640591590609708,0.00020191846998966265,5.047961749741566e-05,-5388.702179351528,1.2835274724982781,0.32088186812456954,0.3630900852370005,7.118455026391892e-05,1.779613756597973e-05
24,methaneUA,lammps-VU,140.0,1318.0,NPT,trappe-ua,hard,None,1.4,1.2953129893697441,0.12100911375426371,0.030252278438565927,139.9844961726731,0.10233482352643827,0.02558370588160957,-5389.202315957453,1.5125564858254956,0.3781391214563739,0.3631960501235348,0.00011574237068743155,2.8935592671857887e-05
25,methaneUA,cassandra,140.0,1318.0,NPT,trappe-ua,hard,None,1.4,4523.753965357259,23.96455729786864,5.99113932446716,140.0,0.0,0.0,-5480.570248292188,2.698345283219163,0.6745863208047908,0.36963363179677083,0.00018134353425697686,4.5335883564244216e-05
26,methaneUA,gromacs,140.0,1318.0,NPT,trappe-ua,hard,None,1.4,12.976991479351005,1.2762453374643787,0.3190613343660947,139.99007799174797,0.034406485735675896,0.008601621433918974,-5389.053654435968,1.5366872264417581,0.38417180661043954,363.2229413074614,0.07282285760002048,0.01820571440000512
27,methaneUA,cassandra,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1292.1047136521488,31.592770246951666,7.8981925617379165,140.0,0.0,0.0,-5695.189620521354,2.915553296563871,0.7288883241409677,0.3757235620453125,0.0001751962404427804,4.37990601106951e-05
30,methaneUA,gomc,140.0,1318.0,NPT,trappe-ua,hard,None,1.4,4544.362414991447,63.6298015503907,15.907450387597676,140.0,0.0,0.0,-5480.949307654307,2.0494727849842245,0.5123681962460561,0.3696602919494323,0.00013054514959435446,3.2636287398588615e-05
31,methaneUA,mcccs,140.0,1318.0,NPT,trappe-ua,hard,None,1.4,1285.9551109414315,28.774248219347133,7.193562054836783,0.0,0.0,0.0,-5481.693325803309,2.2296700733255945,0.5574175183313986,0.3696369973130581,0.00014308831425005624,3.577207856251406e-05
33,methaneUA,mcccs,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1285.4831025069896,37.20743432388115,9.301858580970288,0.0,0.0,0.0,-5695.738792702148,3.029363327288005,0.7573408318220013,0.375689094537191,0.00018367938450319313,4.5919846125798284e-05
34,methaneUA,gromacs,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,13.550360621789387,1.0588568058113574,0.26471420145283936,140.00177761240172,0.02996504403395114,0.007491261008487785,-5698.645560366401,1.8196066632547385,0.45490166581368463,375.9625421345122,0.07281431277824366,0.018203578194560914
