,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,700.76,1.13,-20.95,0.073,temp: 98.0,0.061875886491074734
1,DL_POLY(BS),173.0,636.87,1.44,-17.87,0.084,temp: 173.0,-0.012908695401899867
2,DL_POLY(BS),248.0,577.39,2.24,-15.18,0.124,temp: 248.0,-0.036165043407683485
3,DL_POLY(BS),298.0,538.79,2.56,-13.507,0.135,temp: 298.0,0.07078469894833354
4,GROMACS(BS),98.0,698.96,0.05,-20.944,0.002,temp: 98.0,-0.19514702662565478
5,GROMACS(BS),173.0,636.83,0.09,-17.879,0.003,temp: 173.0,-0.019188601273082816
6,GROMACS(BS),248.0,577.22,0.13,-15.178,0.003,temp: 248.0,-0.06559723298945075
7,GROMACS(BS),298.0,538.37,0.17,-13.51,0.004,temp: 298.0,-0.00722292846411696
8,GROMACS(KL),98.0,699.09,0.08,-20.944,0.001,temp: 98.0,-0.1765842606783356
9,GROMACS(KL),173.0,636.68,0.1,-17.878,0.002,temp: 173.0,-0.042738248290054584
10,GROMACS(KL),248.0,577.26,0.19,-15.182,0.003,temp: 248.0,-0.0586720119113925
11,GROMACS(KL),298.0,538.78,0.06,-13.522,0.003,temp: 298.0,0.06892737448613385
12,LAMMPS(AA),98.0,700.41,0.76,-20.965,0.034,temp: 98.0,0.011899208940595042
13,LAMMPS(AA),173.0,636.96,1.03,-17.875,0.04,temp: 173.0,0.0012210928082796244
14,LAMMPS(AA),248.0,577.47,1.37,-15.176,0.056,temp: 248.0,-0.02231460125154729
15,LAMMPS(AA),298.0,538.31,1.81,-13.506,0.063,temp: 298.0,-0.01836687523733624
16,LAMMPS(KL),98.0,701.19,1.08,-20.982,0.038,temp: 98.0,0.12327580462452634
17,LAMMPS(KL),173.0,636.92,1.31,-17.873,0.041,temp: 173.0,-0.005058813062921176
18,LAMMPS(KL),248.0,577.88,1.9,-15.174,0.054,temp: 248.0,0.048668914798608874
19,LAMMPS(KL),298.0,538.05,2.27,-13.495,0.066,temp: 298.0,-0.06665731125457053
20,ms2(KL),98.0,700.59,0.13,-20.961,0.004,temp: 98.0,0.037601500252277736
21,ms2(KL),173.0,636.63,0.17,-17.858,0.003,temp: 173.0,-0.05058813062903327
22,ms2(KL),248.0,577.83,0.2,-15.171,0.003,temp: 248.0,0.04001238845103606
23,ms2(KL),298.0,537.84,0.26,-13.49,0.004,temp: 298.0,-0.10566112496078522
24,ms2(PB),98.0,700.91,0.08,-20.97,0.002,temp: 98.0,0.08329446258413283
25,ms2(PB),173.0,637.1,0.08,-17.867,0.003,temp: 173.0,0.023200763357437804
26,ms2(PB),248.0,577.74,0.13,-15.171,0.003,temp: 248.0,0.024430641025385297
27,ms2(PB),298.0,538.45,0.16,-13.493,0.004,temp: 298.0,0.007635667233501709
28,Tinker(AA),98.0,700.5,1.0,,,temp: 98.0,0.02475035459643639
29,Tinker(AA),173.0,637.2,1.5,,,temp: 173.0,0.03890052803541303
30,Tinker(AA),248.0,577.9,1.9,,,temp: 248.0,0.052131525337638006
31,Tinker(AA),298.0,538.6,2.2,,,temp: 298.0,0.03549553416651824
32,TOWHEE(BS),98.0,700.53,0.38,-20.966,0.017,temp: 98.0,0.02903406981504476
33,TOWHEE(BS),173.0,637.38,0.3,-17.881,0.012,temp: 173.0,0.06716010445575417
34,TOWHEE(BS),248.0,577.7,0.34,-15.176,0.012,temp: 248.0,0.017505419947327044
35,TOWHEE(BS),298.0,538.49,0.36,-13.504,0.014,temp: 298.0,0.015064965082300485
