,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,777.87,1.07,-27.353,0.092,temp: 98.0,-0.0826361355404014
1,DL_POLY(BS),173.0,722.27,1.6,-23.258,0.129,temp: 173.0,-0.02076354475237271
2,DL_POLY(BS),248.0,671.43,1.83,-19.65,0.161,temp: 248.0,-0.006288007280850461
3,DL_POLY(BS),298.0,640.28,2.21,-17.445,0.182,temp: 298.0,0.07328551829532279
4,GROMACS(BS),98.0,783.11,0.06,-27.498,0.003,temp: 98.0,0.5904416109336486
5,GROMACS(BS),173.0,724.06,0.12,-23.29,0.003,temp: 173.0,0.22701475595911969
6,GROMACS(BS),248.0,673.08,0.12,-19.676,0.003,temp: 248.0,0.23944069829976958
7,GROMACS(BS),298.0,639.83,0.13,-17.437,0.004,temp: 298.0,0.0029522602156918957
8,GROMACS(KL),98.0,782.2,0.33,-27.481,0.007,temp: 98.0,0.4735521549620144
9,GROMACS(KL),173.0,723.9,0.27,-23.301,0.006,temp: 173.0,0.20486697488994
10,GROMACS(KL),248.0,672.66,0.23,-19.682,0.004,temp: 248.0,0.17689157324287708
11,GROMACS(KL),298.0,640.28,0.27,-17.454,0.006,temp: 298.0,0.07328551829532279
12,LAMMPS(AA),98.0,777.29,1.22,-27.339,0.048,temp: 98.0,-0.1571371074783739
13,LAMMPS(AA),173.0,721.72,1.17,-23.243,0.043,temp: 173.0,-0.09689654217768685
14,LAMMPS(AA),248.0,671.61,1.62,-19.652,0.054,temp: 248.0,0.02051876060067973
15,LAMMPS(AA),298.0,640.07,2.24,-17.434,0.064,temp: 298.0,0.040463331191502146
16,LAMMPS(KL),98.0,777.19,1.23,-27.333,0.048,temp: 98.0,-0.16998210264008068
17,LAMMPS(KL),173.0,722.28,1.3,-23.257,0.046,temp: 173.0,-0.01937930843554996
18,LAMMPS(KL),248.0,671.08,1.58,-19.651,0.055,temp: 248.0,-0.05841227816157162
19,LAMMPS(KL),298.0,639.3,1.99,-17.43,0.057,temp: 298.0,-0.07988468818923278
20,ms2(KL),98.0,777.39,0.1,-27.333,0.004,temp: 98.0,-0.14429211231665248
21,ms2(KL),173.0,721.97,0.26,-23.245,0.006,temp: 173.0,-0.062290634257086655
22,ms2(KL),248.0,670.78,0.25,-19.638,0.004,temp: 248.0,-0.10309022463078296
23,ms2(KL),298.0,639.09,0.3,-17.409,0.005,temp: 298.0,-0.11270687529305343
24,ms2(PB),98.0,776.6,0.06,-27.317,0.003,temp: 98.0,-0.24576757409422384
25,ms2(PB),173.0,721.68,0.1,-23.239,0.003,temp: 173.0,-0.10243348744499359
26,ms2(PB),248.0,671.38,0.12,-19.646,0.003,temp: 248.0,-0.013734331692377219
27,ms2(PB),298.0,639.73,0.15,-17.42,0.004,temp: 298.0,-0.012677352690898671
28,Tinker(AA),98.0,777.3,1.1,,,temp: 98.0,-0.1558526079622032
29,Tinker(AA),173.0,721.8,1.6,,,temp: 173.0,-0.08582265164310486
30,Tinker(AA),248.0,671.6,2.2,,,temp: 248.0,0.019029495718374374
31,Tinker(AA),298.0,640.0,2.0,,,temp: 298.0,0.02952260215688342
32,TOWHEE(BS),98.0,777.67,0.38,-27.347,0.021,temp: 98.0,-0.10832612586384421
33,TOWHEE(BS),173.0,722.1,0.42,-23.26,0.02,temp: 173.0,-0.04429556213837518
34,TOWHEE(BS),248.0,669.63,0.84,-19.586,0.291,temp: 248.0,-0.27435568609605077
35,TOWHEE(BS),298.0,639.72,0.32,-17.431,0.013,temp: 298.0,-0.01424031398155595
