,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,753.48,1.15,-26.246,0.088,temp: 98.0,0.09545805633733052
1,DL_POLY(BS),173.0,687.41,1.61,-22.064,0.134,temp: 173.0,0.047197272122416714
2,DL_POLY(BS),248.0,624.43,2.28,-17.399,0.175,temp: 248.0,0.0757835931955047
3,DL_POLY(BS),298.0,579.14,3.03,-14.426,0.208,temp: 298.0,0.047136401888430775
4,GROMACS(BS),98.0,749.93,0.06,-26.919,0.003,temp: 98.0,-0.3761389019097422
5,GROMACS(BS),173.0,686.63,0.1,-22.057,0.004,temp: 173.0,-0.06632568196939567
6,GROMACS(BS),248.0,624.24,0.15,-17.408,0.006,temp: 248.0,0.04533278384505513
7,GROMACS(BS),298.0,578.71,0.26,-14.447,0.009,temp: 298.0,-0.02714661888859554
8,GROMACS(KL),98.0,749.6,0.08,-27.019,0.004,temp: 98.0,-0.4199774923946708
9,GROMACS(KL),173.0,686.72,0.15,-22.021,0.006,temp: 173.0,-0.05322687957418147
10,GROMACS(KL),248.0,624.24,0.11,-17.421,0.008,temp: 248.0,0.04533278384505513
11,GROMACS(KL),298.0,579.4,0.19,-14.445,0.009,temp: 298.0,0.09205171677686895
12,ms2(KL),98.0,762.18,0.07,-23.551,0.005,temp: 98.0,1.2512027145766043
13,ms2(KL),173.0,688.11,0.18,-21.8,0.029,temp: 173.0,0.14907684630738674
14,ms2(KL),248.0,624.55,0.19,-17.394,0.008,temp: 248.0,0.09501568331158484
15,ms2(KL),298.0,579.47,0.23,-14.411,0.012,temp: 298.0,0.10414430155453445
16,ms2(PB),98.0,751.24,0.07,-27.05,0.004,temp: 98.0,-0.20211298210588832
17,ms2(PB),173.0,687.12,0.11,-22.12,0.005,temp: 173.0,0.004990019960080029
18,ms2(PB),248.0,624.24,0.16,-17.454,0.008,temp: 248.0,0.04533278384505513
19,ms2(PB),298.0,579.56,0.2,-14.416,0.008,temp: 298.0,0.11969191055436483
20,Tinker(AA),98.0,751.1,1.2,,,temp: 98.0,-0.22071117200858759
21,Tinker(AA),173.0,685.9,1.7,,,temp: 173.0,-0.1725715236194316
22,Tinker(AA),248.0,621.0,2.2,,,temp: 248.0,-0.4739336492890902
23,Tinker(AA),298.0,576.3,2.4,,,temp: 298.0,-0.44347703766222424
24,TOWHEE(BS),98.0,751.8,0.6,-26.993,0.037,temp: 98.0,-0.12772022249509116
25,TOWHEE(BS),173.0,687.71,0.35,-22.054,0.025,temp: 173.0,0.09085994677312524
26,TOWHEE(BS),248.0,625.0,0.29,-17.438,0.016,temp: 248.0,0.1671360212468899
27,TOWHEE(BS),298.0,579.49,0.51,-14.425,0.02,temp: 298.0,0.10759932577671896
