,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,,,,,temp: 98.0,
1,DL_POLY(BS),173.0,,,,,temp: 173.0,
2,DL_POLY(BS),248.0,492.13,7.15,-10.439,0.198,temp: 248.0,4.969818484312014
3,DL_POLY(BS),298.0,418.9,10.13,-8.216,0.263,temp: 298.0,29.599455490471065
4,GROMACS(BS),98.0,652.5,0.14,-16.298,0.003,temp: 98.0,1.378836929439482
5,GROMACS(BS),173.0,580.91,0.18,-13.409,0.003,temp: 173.0,3.4305211821814665
6,GROMACS(BS),248.0,483.17,0.27,-10.327,0.006,temp: 248.0,3.0586779856237936
7,GROMACS(BS),298.0,402.0,0.43,-7.968,0.01,temp: 298.0,24.370926491213588
8,GROMACS(KL),98.0,645.03,1.9,-16.185,0.029,temp: 98.0,0.21822403769555
9,GROMACS(KL),173.0,570.61,3.8,-13.282,0.049,temp: 173.0,1.5966151241406954
10,GROMACS(KL),248.0,483.35,6.3,-10.33,0.081,temp: 248.0,3.0970714331420854
11,GROMACS(KL),298.0,375.37,12.0,-7.538,0.2,temp: 298.0,16.13212606220608
12,Ind.MC(PB),98.0,650.48,0.08,-16.246,0.003,temp: 98.0,1.0649898020870439
13,Ind.MC(PB),173.0,572.09,0.12,-13.278,0.004,temp: 173.0,1.8601278392766554
14,Ind.MC(PB),248.0,483.25,0.18,-10.311,0.005,temp: 248.0,3.075741740076364
15,Ind.MC(PB),298.0,399.5,0.4,-7.91,0.009,temp: 298.0,23.59747545582047
16,LAMMPS(AA),98.0,632.39,0.99,-15.982,0.035,temp: 98.0,-1.7456510562325938
17,LAMMPS(AA),173.0,545.3,1.75,-12.958,0.05,temp: 173.0,-2.909808402947871
18,LAMMPS(AA),248.0,446.51,3.94,-9.842,0.095,temp: 248.0,-4.760787492267985
19,LAMMPS(AA),298.0,203.17,64.19,-4.212,1.382,temp: 298.0,-37.14318125567198
20,LAMMPS(KL),98.0,631.46,1.88,-15.981,0.065,temp: 98.0,-1.8901450307067296
21,LAMMPS(KL),173.0,540.69,4.05,-12.905,0.118,temp: 173.0,-3.7306149007699885
22,LAMMPS(KL),248.0,433.13,8.6,-9.662,0.21,temp: 248.0,-7.61470042446089
23,LAMMPS(KL),298.0,97.84,8.56,-1.938,0.246,temp: 298.0,-69.73022027885489
24,ms2(KL),98.0,634.34,0.18,-15.96,0.003,temp: 98.0,-1.4426798194319628
25,ms2(KL),173.0,552.65,0.31,-12.93,0.004,temp: 173.0,-1.601147283860515
26,ms2(KL),248.0,456.0,0.79,-9.774,0.006,temp: 248.0,-2.73659962033146
27,ms2(KL),298.0,306.62,2.51,-5.708,0.177,temp: 298.0,-5.137777411104699
28,ms2*(KL),98.0,651.19,0.08,-16.277,0.003,temp: 98.0,1.1753024062554818
29,ms2*(KL),173.0,572.29,0.12,-13.294,0.004,temp: 173.0,1.895737665646367
30,ms2*(KL),248.0,483.49,0.14,-10.325,0.003,temp: 248.0,3.126933003434086
31,ms2*(KL),298.0,399.15,0.37,-7.913,0.008,temp: 298.0,23.489192310865427
32,ms2(PB),98.0,636.17,0.06,-16.028,0.002,temp: 98.0,-1.1583529664344656
33,ms2(PB),173.0,570.16,0.09,-13.244,0.003,temp: 173.0,1.5164930148088085
34,ms2(PB),248.0,478.43,0.2,-10.232,0.005,temp: 248.0,2.0476505343088163
35,ms2(PB),298.0,369.21,0.75,-7.419,0.016,temp: 298.0,14.226342710997427
36,NAMD(FM),98.0,634.27,3.29,-16.007,0.089,temp: 98.0,-1.453555709983788
37,NAMD(FM),173.0,544.42,5.47,-12.939,0.149,temp: 173.0,-3.0664916389746555
38,NAMD(FM),248.0,440.08,8.96,-9.743,0.226,temp: 248.0,-6.132286756393576
39,NAMD(FM),298.0,121.17,15.07,-2.429,0.403,temp: 298.0,-62.512375216566284
40,Tinker(AA),98.0,640.5,0.8,,,temp: 98.0,-0.48560145087204865
41,Tinker(AA),173.0,556.8,1.0,,,temp: 173.0,-0.8622433866887484
42,Tinker(AA),248.0,463.2,2.9,,,temp: 248.0,-1.2008617195998539
43,Tinker(AA),298.0,387.1,10.9,,,temp: 298.0,19.761158320270603
44,TOWHEE(BS),98.0,671.55,1.26,-17.108,0.049,temp: 98.0,4.33863285818403
45,TOWHEE(BS),173.0,572.15,0.59,-13.293,0.018,temp: 173.0,1.8708107871875628
46,TOWHEE(BS),248.0,483.22,0.9,-10.321,0.024,temp: 248.0,3.0693428321566545
47,TOWHEE(BS),298.0,398.69,0.11,-7.901,0.026,temp: 298.0,23.346877320353094
