,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,,,,,temp: 98.0,
1,DL_POLY(BS),173.0,,,,,temp: 173.0,
2,DL_POLY(BS),248.0,584.6,4.85,-13.384,0.201,temp: 248.0,1.13443215680508
3,DL_POLY(BS),298.0,545.74,5.77,-11.289,0.233,temp: 298.0,1.3148429196660394
4,GROMACS(BS),98.0,702.5,0.11,-20.337,0.003,temp: 98.0,0.7352270208966116
5,GROMACS(BS),173.0,646.72,0.11,-16.74,0.003,temp: 173.0,1.7770408214360944
6,GROMACS(BS),248.0,590.46,0.13,-13.427,0.004,temp: 248.0,2.148198445616026
7,GROMACS(BS),298.0,546.13,0.18,-11.306,0.005,temp: 298.0,1.387245141857318
8,GROMACS(KL),98.0,701.19,1.9,-20.313,0.032,temp: 98.0,0.5473791242455525
9,GROMACS(KL),173.0,646.15,3.0,-16.739,0.035,temp: 173.0,1.6873375290248134
10,GROMACS(KL),248.0,596.03,2.4,-13.473,0.018,temp: 248.0,3.1117954129670315
11,GROMACS(KL),298.0,553.88,2.9,-11.347,0.016,temp: 298.0,2.826007249504571
12,Ind.MC(PB),98.0,707.99,0.08,-20.384,0.004,temp: 98.0,1.522467442739634
13,Ind.MC(PB),173.0,644.97,0.09,-16.689,0.004,temp: 173.0,1.5016359763137648
14,Ind.MC(PB),248.0,585.1,0.11,-13.353,0.004,temp: 248.0,1.2209309869084028
15,Ind.MC(PB),298.0,545.75,0.13,-11.26,0.004,temp: 298.0,1.3166993869017116
16,LAMMPS(AA),98.0,688.26,1.02,-20.094,0.034,temp: 98.0,-1.3067226343027742
17,LAMMPS(AA),173.0,624.9,1.67,-16.503,0.048,temp: 173.0,-1.6568641617463347
18,LAMMPS(AA),248.0,572.11,3.18,-13.284,0.059,temp: 248.0,-1.0263086191759263
19,LAMMPS(AA),298.0,535.02,3.58,-11.217,0.066,temp: 298.0,-0.6752899569763593
20,LAMMPS(KL),98.0,685.47,1.62,-20.054,0.069,temp: 98.0,-1.7067956355672553
21,LAMMPS(KL),173.0,616.56,3.15,-16.438,0.108,temp: 173.0,-2.9693649665007573
22,LAMMPS(KL),248.0,557.03,5.43,-13.219,0.145,temp: 248.0,-3.635113335092151
23,LAMMPS(KL),298.0,517.39,6.37,-11.16,0.173,temp: 298.0,-3.9482416934693996
24,ms2(KL),98.0,688.23,0.12,-20.085,0.003,temp: 98.0,-1.311024494531421
25,ms2(KL),173.0,622.13,0.26,-16.468,0.004,temp: 173.0,-2.092790688025677
26,ms2(KL),248.0,564.23,0.68,-13.237,0.005,temp: 248.0,-2.389530181604294
27,ms2(KL),298.0,526.91,0.72,-11.169,0.005,temp: 298.0,-2.180884885107874
28,ms2*(KL),98.0,708.45,0.07,-20.437,0.003,temp: 98.0,1.5884292995789453
29,ms2*(KL),173.0,644.97,0.07,-16.715,0.003,temp: 173.0,1.5016359763137648
30,ms2*(KL),248.0,585.39,0.09,-13.391,0.003,temp: 248.0,1.2711003083683237
31,ms2*(KL),298.0,546.11,0.08,-11.295,0.003,temp: 298.0,1.3835322073859737
32,ms2(PB),98.0,686.66,0.07,-20.071,0.002,temp: 98.0,-1.5361551798307984
33,ms2(PB),173.0,627.96,0.1,-16.527,0.003,temp: 173.0,-1.1752991182752799
34,ms2(PB),248.0,575.3,0.13,-13.301,0.004,temp: 248.0,-0.4744460831167368
35,ms2(PB),298.0,538.08,0.19,-11.232,0.005,temp: 298.0,-0.10721098286014263
36,NAMD(FM),98.0,692.29,2.81,-20.152,0.098,temp: 98.0,-0.728839410254076
37,NAMD(FM),173.0,627.14,4.08,-16.527,0.149,temp: 173.0,-1.3043459599897511
38,NAMD(FM),248.0,563.26,5.9,-13.251,0.199,temp: 248.0,-2.5573379120047446
39,NAMD(FM),298.0,527.16,6.67,-11.204,0.228,temp: 298.0,-2.1344732042160275
40,Tinker(AA),98.0,701.9,0.9,,,temp: 98.0,0.6491898163236006
41,Tinker(AA),173.0,643.1,1.2,,,temp: 173.0,1.2073462275259028
42,Tinker(AA),248.0,577.6,1.7,,,temp: 248.0,-0.07655146464143993
43,Tinker(AA),298.0,535.7,2.4,,,temp: 298.0,-0.5490501849505239
44,TOWHEE(BS),98.0,708.16,0.73,-20.43,0.034,temp: 98.0,1.5468446507019804
45,TOWHEE(BS),173.0,645.11,0.53,-16.727,0.023,temp: 173.0,1.5236683639235489
46,TOWHEE(BS),248.0,585.4,0.36,-13.391,0.013,temp: 248.0,1.2728302849703885
47,TOWHEE(BS),298.0,546.02,0.4,-11.294,0.015,temp: 298.0,1.3668240022649027
