,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,,,,,temp: 98.0,
1,DL_POLY(BS),173.0,720.35,3.25,-21.32,0.175,temp: 173.0,-0.002082277734186513
2,DL_POLY(BS),248.0,666.51,4.21,-16.44,0.235,temp: 248.0,0.20182886265487396
3,DL_POLY(BS),298.0,626.77,5.03,-13.417,0.282,temp: 298.0,-0.411397307578755
4,GROMACS(BS),98.0,783.2,0.06,-26.494,0.003,temp: 98.0,0.8745379374299761
5,GROMACS(BS),173.0,721.03,0.13,-21.232,0.004,temp: 173.0,0.09231431288306309
6,GROMACS(BS),248.0,665.83,0.18,-16.499,0.004,temp: 248.0,0.09959897319094949
7,GROMACS(BS),298.0,630.23,0.22,-13.507,0.005,temp: 298.0,0.13836826083674217
8,GROMACS(KL),98.0,782.52,0.47,-26.482,0.014,temp: 98.0,0.7869553457580419
9,GROMACS(KL),173.0,723.85,0.27,-21.299,0.007,temp: 173.0,0.48378252691345747
10,GROMACS(KL),248.0,666.62,0.28,-16.526,0.005,temp: 248.0,0.21836605065639442
11,GROMACS(KL),298.0,630.58,0.37,-13.523,0.005,temp: 298.0,0.1939803848094111
12,Ind.MC(PB),98.0,777.7,0.1,-26.234,0.006,temp: 98.0,0.1661493283188106
13,Ind.MC(PB),173.0,720.35,0.08,-21.16,0.005,temp: 173.0,-0.002082277734186513
14,Ind.MC(PB),248.0,664.65,0.11,-16.42,0.006,temp: 248.0,-0.07779995264353032
15,Ind.MC(PB),298.0,628.35,0.12,-13.418,0.007,temp: 298.0,-0.16034829078785937
16,LAMMPS(AA),98.0,778.71,1.37,-26.338,0.05,temp: 98.0,0.2962352365374053
17,LAMMPS(AA),173.0,721.81,1.65,-21.209,0.053,temp: 173.0,0.20059275506167712
18,LAMMPS(AA),248.0,663.7,1.89,-16.416,0.063,temp: 248.0,-0.2206211217475427
19,LAMMPS(AA),298.0,629.77,2.43,-13.435,0.076,temp: 298.0,0.06527804075837626
20,LAMMPS(KL),98.0,771.49,3.73,-26.173,0.118,temp: 98.0,-0.6336858103321646
21,LAMMPS(KL),173.0,719.09,2.6,-21.195,0.113,temp: 173.0,-0.17699360740733708
22,LAMMPS(KL),248.0,664.76,2.73,-16.485,0.139,temp: 248.0,-0.06126276464200986
23,LAMMPS(KL),298.0,629.46,3.49,-13.494,0.169,temp: 298.0,0.01602158809688137
24,ms2(KL),98.0,772.22,0.65,-26.168,0.016,temp: 98.0,-0.5396633222137712
25,ms2(KL),173.0,720.54,0.42,-21.186,0.008,temp: 173.0,0.02429324023239167
26,ms2(KL),248.0,663.77,0.35,-16.415,0.007,temp: 248.0,-0.21009745665567692
27,ms2(KL),298.0,628.48,0.28,-13.423,0.006,temp: 298.0,-0.1396923590265844
28,ms2*(KL),98.0,780.17,0.07,-26.759,0.004,temp: 98.0,0.4842802127741774
29,ms2*(KL),173.0,721.37,0.08,-21.875,0.004,temp: 173.0,0.13951260819169578
30,ms2*(KL),248.0,666.03,0.08,-17.42,0.004,temp: 248.0,0.12966658773915452
31,ms2*(KL),298.0,630.08,0.1,-14.61,0.004,temp: 298.0,0.11453449341988922
32,ms2(PB),98.0,772.57,0.25,-26.196,0.007,temp: 98.0,-0.4945840470885122
33,ms2(PB),173.0,719.9,0.14,-21.183,0.004,temp: 173.0,-0.06455060976031848
34,ms2(PB),248.0,665.22,0.16,-16.455,0.004,temp: 248.0,0.00789274881889079
35,ms2(PB),298.0,629.1,0.19,-13.443,0.005,temp: 298.0,-0.04117945370357655
36,NAMD(FM),98.0,772.86,2.69,-26.2,0.113,temp: 98.0,-0.45723264769901917
37,NAMD(FM),173.0,719.05,3.5,-21.193,0.171,temp: 173.0,-0.18254634803189232
38,NAMD(FM),248.0,664.34,4.26,-16.474,0.231,temp: 248.0,-0.1244047551932558
39,NAMD(FM),298.0,627.85,5.15,-13.465,0.274,temp: 298.0,-0.23979418217738124
40,Tinker(AA),98.0,769.1,0.6,,,temp: 98.0,-0.9415128604731966
41,Tinker(AA),173.0,716.6,0.9,,,temp: 173.0,-0.5226517112852336
42,Tinker(AA),248.0,665.6,2.9,,,temp: 248.0,0.06502121646049916
43,Tinker(AA),298.0,632.8,2.9,,,temp: 298.0,0.5467201425788745
44,TOWHEE(BS),98.0,779.97,0.47,-26.4,0.027,temp: 98.0,0.4585206269883257
45,TOWHEE(BS),173.0,720.44,0.66,-21.212,0.03,temp: 173.0,0.010411388671043036
46,TOWHEE(BS),248.0,664.98,0.64,-16.48,0.032,temp: 248.0,-0.028188388638968928
47,TOWHEE(BS),298.0,628.84,0.35,-13.478,0.014,temp: 298.0,-0.08249131722612647
