,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,,,,,temp: 98.0,
1,DL_POLY(BS),173.0,715.34,3.38,-20.982,0.184,temp: 173.0,0.3699529023296261
2,DL_POLY(BS),248.0,661.01,4.42,-15.626,0.242,temp: 248.0,0.06585172009235274
3,DL_POLY(BS),298.0,626.74,5.03,-12.357,0.295,temp: 298.0,0.11168068110573022
4,GROMACS(BS),98.0,773.49,0.07,-26.49,0.003,temp: 98.0,0.47590424759301814
5,GROMACS(BS),173.0,717.81,0.09,-20.801,0.006,temp: 173.0,0.7165206654475078
6,GROMACS(BS),248.0,662.05,0.13,-15.668,0.006,temp: 248.0,0.22329031525565196
7,GROMACS(BS),298.0,628.42,0.16,-12.429,0.007,temp: 298.0,0.3800337837388039
8,GROMACS(KL),98.0,768.71,1.6,-26.302,0.043,temp: 98.0,-0.1450149915742521
9,GROMACS(KL),173.0,719.3,2.0,-21.353,0.042,temp: 173.0,0.9255838100004086
10,GROMACS(KL),248.0,667.41,1.2,-16.607,0.02,temp: 248.0,1.0347046134049935
11,GROMACS(KL),298.0,629.48,0.43,-13.48,0.008,temp: 298.0,0.5493518127811149
12,Ind.MC(PB),98.0,768.37,0.08,-26.274,0.005,temp: 98.0,-0.18918079519703304
13,Ind.MC(PB),173.0,714.07,0.12,-21.306,0.006,temp: 173.0,0.19175814153621762
14,Ind.MC(PB),248.0,659.57,0.13,-16.342,0.006,temp: 248.0,-0.15214018090298329
15,Ind.MC(PB),298.0,625.01,0.12,-12.926,0.005,temp: 298.0,-0.1646591210104818
16,LAMMPS(AA),98.0,769.52,1.02,-26.511,0.059,temp: 98.0,-0.03979645941411448
17,LAMMPS(AA),173.0,712.28,1.35,-21.386,0.052,temp: 173.0,-0.05939825359781344
18,LAMMPS(AA),248.0,659.75,1.98,-16.676,0.065,temp: 248.0,-0.12489119327857275
19,LAMMPS(AA),298.0,625.64,2.3,-13.728,0.074,temp: 298.0,-0.0640267075230769
20,LAMMPS(KL),98.0,776.03,3.38,-23.11,0.142,temp: 98.0,0.80584878053964
21,LAMMPS(KL),173.0,707.92,3.53,-20.526,0.161,temp: 173.0,-0.6711534953767697
22,LAMMPS(KL),248.0,660.06,3.26,-15.603,0.167,temp: 248.0,-0.07796238125874978
23,LAMMPS(KL),298.0,626.17,3.66,-12.365,0.191,temp: 298.0,0.020632306998069512
24,ms2(KL),98.0,776.3,0.61,-23.132,0.026,temp: 98.0,0.8409216245930193
25,ms2(KL),173.0,709.42,0.68,-20.579,0.023,temp: 173.0,-0.46068724247116616
26,ms2(KL),248.0,661.15,0.43,-15.588,0.009,temp: 248.0,0.08704537713356478
27,ms2(KL),298.0,627.07,0.21,-12.354,0.013,temp: 298.0,0.16439289769437782
28,ms2*(KL),98.0,784.9,0.08,-23.209,0.005,temp: 98.0,1.9580566574044354
29,ms2*(KL),173.0,725.62,0.09,-18.299,0.006,temp: 173.0,1.8123482889093583
30,ms2*(KL),248.0,668.16,0.08,-14.616,0.01,temp: 248.0,1.1482420618400693
31,ms2*(KL),298.0,629.64,0.08,-12.607,0.01,temp: 298.0,0.5749092511271177
32,ms2(PB),98.0,751.84,0.11,-25.97,0.003,temp: 98.0,-2.3364182477985014
33,ms2(PB),173.0,703.41,0.3,-20.581,0.009,temp: 173.0,-1.303955362446283
34,ms2(PB),248.0,659.59,0.21,-15.556,0.007,temp: 248.0,-0.14911251561138403
35,ms2(PB),298.0,627.07,0.19,-12.363,0.007,temp: 298.0,0.16439289769437782
36,NAMD(FM),98.0,756.1,2.6,-25.798,0.117,temp: 98.0,-1.7830467082895933
37,NAMD(FM),173.0,697.81,3.91,-20.749,0.182,temp: 173.0,-2.0896960399605393
38,NAMD(FM),248.0,644.54,4.76,-16.092,0.239,temp: 248.0,-2.4274306475419096
39,NAMD(FM),298.0,613.36,5.52,-13.152,0.282,temp: 298.0,-2.02556010057917
40,Tinker(AA),98.0,769.7,1.2,,,temp: 98.0,-0.016414563378518487
41,Tinker(AA),173.0,713.8,1.2,,,temp: 173.0,0.15387421601319556
42,Tinker(AA),248.0,661.2,1.3,,,temp: 248.0,0.09461454036258014
43,Tinker(AA),298.0,626.7,2.1,,,temp: 298.0,0.1052913215192341
44,TOWHEE(BS),98.0,773.13,0.63,,,temp: 98.0,0.429140455521841
45,TOWHEE(BS),173.0,715.66,0.64,-20.851,0.04,temp: 173.0,0.41485236961614586
46,TOWHEE(BS),248.0,662.41,0.57,-15.662,0.033,temp: 248.0,0.2777882905044903
47,TOWHEE(BS),298.0,627.19,0.4,-12.397,0.023,temp: 298.0,0.18356097645388436
