,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,673.44,0.91,-15.612,0.05,temp: 98.0,0.004784949518766969
1,DL_POLY(BS),173.0,606.29,1.09,-13.426,0.069,temp: 173.0,0.029514207149402383
2,DL_POLY(BS),248.0,543.93,1.15,-11.569,0.081,temp: 248.0,0.039849430459663174
3,DL_POLY(BS),298.0,503.98,1.37,-10.458,0.09,temp: 298.0,0.02624249387491994
4,GROMACS(BS),98.0,673.45,0.05,-15.613,0.002,temp: 98.0,0.006269933852180901
5,GROMACS(BS),173.0,606.56,0.06,-13.433,0.002,temp: 173.0,0.07406049495874861
6,GROMACS(BS),248.0,544.21,0.09,-11.576,0.002,temp: 248.0,0.09134715597680206
7,GROMACS(BS),298.0,504.0,0.11,-10.457,0.003,temp: 298.0,0.03021194672994529
8,GROMACS(KL),98.0,673.53,0.09,-15.617,0.003,temp: 98.0,0.018149808519492352
9,GROMACS(KL),173.0,606.29,0.08,-13.427,0.002,temp: 173.0,0.029514207149402383
10,GROMACS(KL),248.0,544.04,0.12,-11.574,0.003,temp: 248.0,0.060080679769964
11,GROMACS(KL),298.0,504.15,0.21,-10.461,0.005,temp: 298.0,0.059982843142658025
12,LAMMPS(AA),98.0,673.51,0.75,-15.615,0.026,temp: 98.0,0.01517983985266449
13,LAMMPS(AA),173.0,606.2,1.05,-13.424,0.031,temp: 173.0,0.014665444546299481
14,LAMMPS(AA),248.0,543.81,1.46,-11.565,0.04,temp: 248.0,0.017778976666609624
15,LAMMPS(AA),298.0,503.75,1.98,-10.451,0.052,temp: 298.0,-0.019406213957916783
16,LAMMPS(KL),98.0,673.2,0.75,-15.612,0.026,temp: 98.0,-0.030854674483201155
17,LAMMPS(KL),173.0,605.92,1.16,-13.421,0.035,temp: 173.0,-0.03153070577452138
18,LAMMPS(KL),248.0,543.6,1.46,-11.566,0.039,temp: 248.0,-0.020844317471218402
19,LAMMPS(KL),298.0,503.75,1.9,-10.454,0.049,temp: 298.0,-0.019406213957916783
20,ms2(KL),98.0,673.14,0.07,-15.602,0.003,temp: 98.0,-0.03976458048370162
21,ms2(KL),173.0,605.75,0.05,-13.409,0.002,temp: 173.0,-0.05957836846929006
22,ms2(KL),248.0,543.26,0.1,-11.551,0.003,temp: 248.0,-0.08337726988487361
23,ms2(KL),298.0,503.49,0.1,-10.442,0.003,temp: 298.0,-0.07100910107329153
24,ms2(PB),98.0,673.23,0.05,-15.605,0.002,temp: 98.0,-0.02639972148295936
25,ms2(PB),173.0,605.91,0.07,-13.415,0.002,temp: 173.0,-0.033180568285977256
26,ms2(PB),248.0,543.32,0.1,-11.552,0.003,temp: 248.0,-0.07234204298833637
27,ms2(PB),298.0,503.6,0.11,-10.445,0.003,temp: 298.0,-0.049177110370629516
28,Tinker(AA),98.0,673.2,1.1,,,temp: 98.0,-0.030854674483201155
29,Tinker(AA),173.0,606.0,1.4,,,temp: 173.0,-0.018331805682855595
30,Tinker(AA),248.0,543.6,1.4,,,temp: 248.0,-0.020844317471218402
31,Tinker(AA),298.0,504.0,1.5,,,temp: 298.0,0.03021194672994529
32,TOWHEE(BS),98.0,673.97,0.84,-15.635,0.029,temp: 98.0,0.08348911918977286
33,TOWHEE(BS),173.0,606.08,0.46,-13.422,0.015,temp: 173.0,-0.0051329055911898125
34,TOWHEE(BS),248.0,543.65,0.34,-11.563,0.009,temp: 248.0,-0.011648295057454803
35,TOWHEE(BS),298.0,503.91,0.55,-10.455,0.015,temp: 298.0,0.01234940888231991
