,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,741.92,1.09,-20.672,0.072,temp: 98.0,0.10299216989660143
1,DL_POLY(BS),173.0,671.72,1.65,-17.541,0.099,temp: 173.0,-0.11136409449756204
2,DL_POLY(BS),248.0,607.84,2.26,-14.829,0.121,temp: 248.0,-0.004935265764056906
3,DL_POLY(BS),298.0,565.1,2.59,-13.132,0.131,temp: 298.0,0.04307877514649841
4,GROMACS(BS),98.0,739.34,0.06,-20.628,0.002,temp: 98.0,-0.24511236940457115
5,GROMACS(BS),173.0,672.11,0.08,-17.548,0.002,temp: 173.0,-0.05336884647287231
6,GROMACS(BS),248.0,607.26,0.14,-14.821,0.003,temp: 248.0,-0.1003504038692506
7,GROMACS(BS),298.0,564.56,0.2,-13.136,0.005,temp: 298.0,-0.0525206984662902
8,GROMACS(KL),98.0,739.61,0.23,-20.637,0.006,temp: 98.0,-0.20868282459398477
9,GROMACS(KL),173.0,671.73,0.23,-17.54,0.005,temp: 173.0,-0.10987703685590464
10,GROMACS(KL),248.0,607.62,0.11,-14.829,0.003,temp: 248.0,-0.04112721470051162
11,GROMACS(KL),298.0,565.08,0.17,-13.138,0.006,temp: 298.0,0.03953805390158405
12,LAMMPS(AA),98.0,741.39,0.78,-20.659,0.033,temp: 98.0,0.031482322675819574
13,LAMMPS(AA),173.0,672.7,1.1,-17.552,0.039,temp: 173.0,0.034367554384999444
14,LAMMPS(AA),248.0,607.78,1.6,-14.826,0.053,temp: 248.0,-0.01480579729218942
15,LAMMPS(AA),298.0,564.71,2.15,-13.121,0.069,temp: 298.0,-0.025965289129392166
16,LAMMPS(KL),98.0,742.08,0.85,-20.674,0.033,temp: 98.0,0.12458004830288734
17,LAMMPS(KL),173.0,672.72,1.37,-17.549,0.044,temp: 173.0,0.037341669668314266
18,LAMMPS(KL),248.0,608.12,2.0,-14.826,0.055,temp: 248.0,0.04112721470051162
19,LAMMPS(KL),298.0,564.96,2.54,-13.128,0.069,temp: 298.0,0.0182937264320777
20,ms2(KL),98.0,741.75,0.14,-20.663,0.003,temp: 98.0,0.08005504908993988
21,ms2(KL),173.0,672.51,0.24,-17.536,0.004,temp: 173.0,0.00611345919347483
22,ms2(KL),248.0,607.86,0.21,-14.805,0.003,temp: 248.0,-0.0016450885880189686
23,ms2(KL),298.0,564.36,0.24,-13.109,0.004,temp: 298.0,-0.087927910915454
24,ms2(PB),98.0,741.18,0.06,-20.656,0.002,temp: 98.0,0.0031482322675788895
25,ms2(PB),173.0,672.73,0.08,-17.542,0.003,temp: 173.0,0.038828727309971674
26,ms2(PB),248.0,608.26,0.14,-14.815,0.004,temp: 248.0,0.06415845493279589
27,ms2(PB),298.0,565.1,0.16,-13.121,0.004,temp: 298.0,0.04307877514649841
28,Tinker(AA),98.0,741.1,1.2,,,temp: 98.0,-0.007645706935548733
29,Tinker(AA),173.0,673.0,1.6,,,temp: 173.0,0.07897928363475558
30,Tinker(AA),248.0,608.1,1.9,,,temp: 248.0,0.037837037524473684
31,Tinker(AA),298.0,564.8,2.1,,,temp: 298.0,-0.010032043527277506
32,TOWHEE(BS),98.0,742.04,0.4,-20.687,0.018,temp: 98.0,0.11918307870130819
33,TOWHEE(BS),173.0,673.0,0.39,-17.555,0.016,temp: 173.0,0.07897928363475558
34,TOWHEE(BS),248.0,607.99,0.32,-14.822,0.013,temp: 248.0,0.019741063056246327
35,TOWHEE(BS),298.0,565.04,0.33,-13.13,0.011,temp: 298.0,0.03245661141173518
