,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,757.2,,1.0,-23.574,0.083,temp: 98.0,-0.653388963237033
1,DL_POLY(BS),173.0,686.82,,1.82,-19.268,0.123,temp: 173.0,-0.4142037573162327
2,DL_POLY(BS),248.0,613.36,,2.7,-15.197,0.158,temp: 248.0,-0.40108471493758674
3,DL_POLY(BS),298.0,559.21,,3.33,-12.468,0.172,temp: 298.0,-0.4273428179697816
4,GROMACS(BS),98.0,774.12,,0.1,-23.993,0.003,temp: 98.0,1.5665590805321497
5,GROMACS(BS),173.0,693.84,,0.11,-19.394,0.004,temp: 173.0,0.6036645191224823
6,GROMACS(BS),248.0,618.36,,0.2,-15.27,0.005,temp: 248.0,0.41082766347853444
7,GROMACS(BS),298.0,563.58,,0.29,-12.533,0.008,temp: 298.0,0.35077722975016706
8,GROMACS(KL),98.0,768.61,,1.8,-23.872,0.047,temp: 98.0,0.8436327376735088
9,GROMACS(KL),173.0,695.58,,0.24,-19.452,0.024,temp: 173.0,0.8559566560175502
10,GROMACS(KL),248.0,618.71,,0.37,-15.297,0.012,temp: 248.0,0.4676615299676666
11,GROMACS(KL),298.0,564.01,,0.78,-12.553,0.012,temp: 298.0,0.42734281796974105
12,LAMMPS(AA),98.0,759.68,,2.56,-23.632,0.067,temp: 98.0,-0.32800650764912664
13,LAMMPS(AA),173.0,688.71,,1.87,-19.299,0.057,temp: 173.0,-0.14016229827504148
14,LAMMPS(AA),248.0,615.51,,2.98,-15.227,0.079,temp: 248.0,-0.05196239221865834
15,LAMMPS(AA),298.0,561.96,,3.51,-12.502,0.103,temp: 298.0,0.0623208276205746
16,LAMMPS(KL),98.0,758.51,,2.4,-23.61,0.065,temp: 98.0,-0.48151355322890554
17,LAMMPS(KL),173.0,687.97,,1.85,-19.29,0.059,temp: 173.0,-0.24745895419593325
18,LAMMPS(KL),248.0,616.33,,2.61,-15.239,0.077,temp: 248.0,0.08119123784159366
19,LAMMPS(KL),298.0,560.69,,4.09,-12.478,0.105,temp: 298.0,-0.163814746888423
20,ms2(KL),98.0,760.46,,0.29,-23.649,0.008,temp: 98.0,-0.22566847726259243
21,ms2(KL),173.0,689.04,,0.32,-19.302,0.006,temp: 173.0,-0.09231378955357386
22,ms2(KL),248.0,614.49,,0.44,-15.198,0.009,temp: 248.0,-0.21759251741554408
23,ms2(KL),298.0,560.3,,0.47,-12.461,0.009,temp: 298.0,-0.23325795480852773
24,ms2(PB),98.0,759.3,,0.13,-23.621,0.004,temp: 98.0,-0.37786349681179104
25,ms2(PB),173.0,688.48,,0.15,-19.295,0.004,temp: 173.0,-0.17351125889910468
26,ms2(PB),248.0,614.42,,0.19,-15.199,0.005,temp: 248.0,-0.22895929071337792
27,ms2(PB),298.0,562.5,,0.28,-12.5,0.007,temp: 298.0,0.15847296166376532
28,Tinker(AA),98.0,760.4,,1.0,,,temp: 98.0,-0.2335406334461789
29,Tinker(AA),173.0,687.8,,1.8,,,temp: 173.0,-0.2721081859615538
30,Tinker(AA),248.0,616.1,,2.7,,,temp: 248.0,0.04384326843444913
31,Tinker(AA),298.0,560.9,,3.5,,,temp: 298.0,-0.1264222503160823
32,TOWHEE(BS),98.0,761.34,,0.45,-23.675,0.024,temp: 98.0,-0.11021018657010571
33,TOWHEE(BS),173.0,688.85,,0.41,-19.304,0.018,temp: 173.0,-0.11986293093865878
34,TOWHEE(BS),248.0,615.19,,0.8,-15.214,0.028,temp: 248.0,-0.10392478443727975
35,TOWHEE(BS),298.0,561.34,,0.59,-12.485,0.021,temp: 298.0,-0.04807606702161561
