,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,785.18,1.4,-24.203,0.09,temp: 98.0,0.1031257879631787
1,DL_POLY(BS),173.0,724.47,1.62,-20.267,0.125,temp: 173.0,-0.04568303028723616
2,DL_POLY(BS),248.0,669.88,2.13,-16.823,0.159,temp: 248.0,-0.07143768760679588
3,DL_POLY(BS),298.0,636.27,2.32,-14.712,0.176,temp: 298.0,0.019562259510832836
4,GROMACS(BS),98.0,792.44,0.04,-24.359,0.002,temp: 98.0,1.0287080661931682
5,GROMACS(BS),173.0,726.88,0.09,-20.296,0.003,temp: 173.0,0.28682197874972126
6,GROMACS(BS),248.0,671.92,0.14,-16.846,0.003,temp: 248.0,0.23287691667647648
7,GROMACS(BS),298.0,636.34,0.15,-14.713,0.004,temp: 298.0,0.030566030485687474
8,GROMACS(KL),98.0,788.74,0.84,-24.299,0.023,temp: 98.0,0.5569925800428991
9,GROMACS(KL),173.0,727.34,0.25,-20.322,0.004,temp: 173.0,0.3502876651219265
10,GROMACS(KL),248.0,671.92,0.26,-16.854,0.006,temp: 248.0,0.23287691667647648
11,GROMACS(KL),298.0,637.34,0.37,-14.729,0.002,temp: 298.0,0.18776275869778428
12,LAMMPS(AA),98.0,782.98,2.04,-24.143,0.054,temp: 98.0,-0.17735369028832054
13,LAMMPS(AA),173.0,723.84,1.57,-20.255,0.048,temp: 173.0,-0.13260342684046622
14,LAMMPS(AA),248.0,669.86,1.96,-16.827,0.054,temp: 248.0,-0.07442116411937433
15,LAMMPS(AA),298.0,635.18,2.3,-14.704,0.063,temp: 298.0,-0.1517821742403577
16,LAMMPS(KL),98.0,782.6,1.17,-24.144,0.038,temp: 98.0,-0.22580014562267134
17,LAMMPS(KL),173.0,724.11,1.31,-20.267,0.046,temp: 173.0,-0.09535182831765558
18,LAMMPS(KL),248.0,669.97,1.78,-16.821,0.057,temp: 248.0,-0.05801204330017594
19,LAMMPS(KL),298.0,635.9,2.86,-14.706,0.07,temp: 298.0,-0.0386005299276437
20,ms2(KL),98.0,777.39,0.1,-24.135,0.008,temp: 98.0,-0.8900265463910197
21,ms2(KL),173.0,723.92,0.4,-20.258,0.007,temp: 173.0,-0.12156591616705015
22,ms2(KL),248.0,669.64,0.36,-16.811,0.004,temp: 248.0,-0.1072394057577711
23,ms2(KL),298.0,635.52,0.3,-14.687,0.004,temp: 298.0,-0.09833528664823976
24,ms2(PB),98.0,782.87,0.13,-24.145,0.003,temp: 98.0,-0.1913776642008977
25,ms2(PB),173.0,724.57,0.12,-20.263,0.003,temp: 173.0,-0.03188614194545038
26,ms2(PB),248.0,670.47,0.15,-16.816,0.004,temp: 248.0,0.01657486951435294
27,ms2(PB),298.0,635.76,0.15,-14.694,0.004,temp: 298.0,-0.060608071877335114
28,Tinker(AA),98.0,783.2,1.1,,,temp: 98.0,-0.14930574246316627
29,Tinker(AA),173.0,723.9,1.7,,,temp: 173.0,-0.12432529383540417
30,Tinker(AA),248.0,669.5,2.1,,,temp: 248.0,-0.12812374134583715
31,Tinker(AA),298.0,636.8,2.2,,,temp: 298.0,0.10287652546323986
32,TOWHEE(BS),98.0,783.94,0.4,-24.175,0.02,temp: 98.0,-0.05496264523311244
33,TOWHEE(BS),173.0,724.18,0.55,-20.263,0.026,temp: 173.0,-0.08569400647841652
34,TOWHEE(BS),248.0,670.07,0.47,-16.821,0.021,temp: 248.0,-0.04309466073726677
35,TOWHEE(BS),298.0,636.2,0.4,-14.71,0.016,temp: 298.0,0.008558488535996068
