,Program(Group),T / K,ρ / kg m−3,δρ / kg m−3,u / kJ mol−1,δu / kJ mol−1,statepoint,Relative_Error
0,DL_POLY(BS),98.0,778.06,1.19,-24.037,0.088,temp: 98.0,0.1612829071381915
1,DL_POLY(BS),173.0,704.52,1.79,-20.164,0.141,temp: 173.0,-0.024529430248225303
2,DL_POLY(BS),248.0,633.19,2.54,-15.534,0.183,temp: 248.0,0.007671497453760983
3,DL_POLY(BS),298.0,581.5,3.0,-12.512,0.199,temp: 298.0,0.09516479246942922
4,GROMACS(BS),98.0,774.15,0.16,-25.132,0.006,temp: 98.0,-0.34205952939229095
5,GROMACS(BS),173.0,703.91,0.25,-20.197,0.008,temp: 173.0,-0.11109196509116794
6,GROMACS(BS),248.0,632.69,0.22,-15.546,0.02,temp: 248.0,-0.07129979986414814
7,GROMACS(BS),298.0,580.98,0.23,-12.491,0.018,temp: 298.0,0.005655788699726238
8,GROMACS(KL),98.0,774.68,0.09,-25.057,0.003,temp: 98.0,-0.2738315264866275
9,GROMACS(KL),173.0,704.02,0.11,-20.234,0.004,temp: 173.0,-0.09548232766047178
10,GROMACS(KL),248.0,633.05,0.19,-15.55,0.007,temp: 248.0,-0.014440465795269374
11,GROMACS(KL),298.0,580.58,0.28,-12.523,0.009,temp: 298.0,-0.0631972911231207
12,ms2(KL),98.0,782.19,0.12,-21.637,0.005,temp: 98.0,0.6929464014785915
13,ms2(KL),173.0,705.68,0.16,-20.012,0.025,temp: 173.0,0.140081291748182
14,ms2(KL),248.0,633.35,0.23,-15.517,0.011,temp: 248.0,0.032942312595486876
15,ms2(KL),298.0,580.56,0.31,-12.447,0.012,temp: 298.0,-0.06663994511427969
16,ms2(PB),98.0,776.45,0.08,-25.167,0.004,temp: 98.0,-0.04597574319787834
17,ms2(PB),173.0,704.75,0.12,-20.167,0.005,temp: 173.0,0.00810890256141066
18,ms2(PB),248.0,633.74,0.17,-15.507,0.007,temp: 248.0,0.09453992450345383
19,ms2(PB),298.0,581.83,0.28,-12.477,0.01,temp: 298.0,0.15196858332328822
20,Tinker(AA),98.0,776.2,1.4,,,temp: 98.0,-0.0781587634364005
21,Tinker(AA),173.0,704.5,1.8,,,temp: 173.0,-0.027367546144712582
22,Tinker(AA),248.0,632.2,2.3,,,temp: 248.0,-0.1486916712357005
23,Tinker(AA),298.0,579.4,2.7,,,temp: 298.0,-0.2663138766005417
24,TOWHEE(BS),98.0,775.92,0.73,-25.077,0.037,temp: 98.0,-0.11420374610355644
25,TOWHEE(BS),173.0,705.47,0.73,-20.194,0.041,temp: 173.0,0.11028107483504945
26,TOWHEE(BS),248.0,633.77,0.63,-15.537,0.028,temp: 248.0,0.09927820234252407
27,TOWHEE(BS),298.0,581.78,0.72,-12.515,0.03,temp: 298.0,0.14336194834542013
