,molecule,engine,temperature,pressure,ensemble,forcefield_name,cutoff_style,long_range_correction,r_cut,pressure-avg,pressure-std,pressure-sem,temperature-avg,temperature-std,temperature-sem,potential_energy-avg,potential_energy-std,potential_energy-sem,density-avg,density-std,density-sem
0,ethanolAA,gromacs,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,7.386085277182733,16.36290891398086,4.090727228495215,319.7222432843016,0.27728240727497183,0.06932060181874296,-3675.6252809287525,18.771018093961377,4.692754523490344,0.7736642320435503,0.00037277412529925744,9.319353132481436e-05
1,waterSPCE,gomc,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,244.26521875101415,486.27808815879854,121.56952203969963,280.0,0.0,0.0,-6340788.739425104,3976.241470428791,994.0603676071978,1.0068742335552554,0.001648215174777416,0.000412053793694354
2,waterSPCE,lammps-VU,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,0.1699873105149858,1.1940528586039503,0.29851321465098757,299.9855307249328,0.14238807715866109,0.03559701928966527,-51251.07075384754,5.842480086362603,1.4606200215906509,0.9979992850805295,0.00022483770202246937,5.6209425505617344e-05
3,ethanolAA,mcccs,300.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,144.10388789173697,142.38975855380298,35.597439638450744,300.0,0.0,0.0,-9636.586657425061,23.05769399077928,5.76442349769482,0.7915228869902695,0.0008904100983158416,0.0002226025245789604
4,waterSPCE,hoomd,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,368.66982144427595,824.5618934803778,206.14047337009444,319.5464837093391,0.08411657455238651,0.021029143638096628,-50033.882489138945,5.196860047911769,1.2992150119779422,0.9863582701788145,0.00020292440438574735,5.073110109643684e-05
5,ethanolAA,mcccs,280.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,95.61641141756772,115.5419757027543,28.885493925688575,280.0,0.0,0.0,-10995.939734889276,22.679869112803736,5.669967278200934,0.8132799817630951,0.0009105163756624017,0.00022762909391560042
6,waterSPCE,lammps-VU,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,-0.2966353234737142,1.0935806012083817,0.27339515030209544,280.0449006680848,0.1109876819501365,0.027746920487534125,-52633.59478870424,7.216325148521126,1.8040812871302816,1.0068795721825756,0.00022887788622402054,5.7219471556005136e-05
7,pentaneUA-constrain_bonds,gomc,372.0,1402.0,NPT,trappe-ua,hard,energy_pressure,1.4,1402.1451191031786,122.33555496765892,30.58388874191473,372.0,0.0,0.0,-289476.5306132031,695.9399642321441,173.98499105803603,0.540849320879125,0.0005165323368682392,0.0001291330842170598
8,pentaneUA-flexible_bonds,gromacs,372.0,1402.0,NPT,trappe-ua,hard,energy_pressure,1.4,17.49920310190135,13.276552718944716,3.319138179736179,372.0263139499642,0.13134130495187382,0.032835326237968455,-499.8800451010373,10.719653087484343,2.6799132718710856,0.5339952516891766,0.001211795303466543,0.00030294882586663575
9,pentaneUA-constrain_bonds,gromacs,372.0,1402.0,NPT,trappe-ua,hard,energy_pressure,1.4,14.357145017690527,3.1597071853930756,0.7899267963482689,371.96957083362616,0.1266716916298173,0.03166792290745433,-2425.9794197016618,6.719675700234463,1.6799189250586157,0.5419011696532579,0.00032131570087705043,8.032892521926261e-05
