,associated_work,MCorMD,engine,molecule,replicate,temperature,density,density-std,forcefield
0,MoSDeF,MC,mcccs,pentaneUA-constrain_bonds,8,372.0,0.5412667611668879,0.012207981516062444,trappe-ua
1,MoSDeF,MD,hoomd,ethanolAA,1,320.0,0.7720074389915003,0.007787305517172146,oplsaa
2,MoSDeF,MD,lammps-VU,methaneUA,15,140.0,0.3759269630691535,0.0045651983721113,trappe-ua
3,MoSDeF,MC,mcccs,ethanolAA,12,320.0,0.7673189674921297,0.007434811882097566,oplsaa
4,MoSDeF,MC,gomc,methaneUA,15,140.0,0.37579459900516665,0.003871742050158768,trappe-ua
5,MoSDeF,MD,hoomd,pentaneUA-constrain_bonds,4,372.0,0.5418892063448911,0.011892016447381698,trappe-ua
6,MoSDeF,MD,gromacs,ethanolAA,2,300.0,0.7957346250964652,0.009745231436100723,oplsaa
7,MoSDeF,MC,gomc,ethanolAA,5,300.0,0.7902697635266668,0.006953139615166792,oplsaa
8,MoSDeF,MC,cassandra,waterSPCE,5,320.0,0.9860349441641667,0.007584148288952039,spce
9,MoSDeF,MD,hoomd,waterSPCE,7,300.0,0.9978728981408326,0.00761364760868145,spce
10,MoSDeF,MC,gomc,waterSPCE,4,300.0,0.998953649413,0.006442499081110856,spce
11,MoSDeF,MD,lammps-VU,pentaneUA-flexible_bonds,9,372.0,0.5437044803621,0.01165953129589078,trappe-ua
12,MoSDeF,MC,gomc,benzeneUA,2,450.0,0.6988341939857501,0.012383269107584697,benzene-ua
13,MoSDeF,MC,cassandra,waterSPCE,7,300.0,1.0008742309408332,0.007026912526833037,spce
14,MoSDeF,MD,gromacs,ethanolAA,7,280.0,0.8168685687288116,0.009189277677585516,oplsaa
15,MoSDeF,MD,gromacs,ethanolAA,8,300.0,0.7954351399617537,0.010140761171188874,oplsaa
16,MoSDeF,MC,cassandra,waterSPCE,4,300.0,0.9973413681858333,0.007002604496981394,spce
17,MoSDeF,MC,mcccs,waterSPCE,8,300.0,0.997089065024006,0.007436352541689527,spce
18,MoSDeF,MD,hoomd,ethanolAA,5,280.0,0.8146025996693211,0.006726863409635344,oplsaa
19,MoSDeF,MC,gomc,waterSPCE,5,320.0,0.9867807803854166,0.006635797558091795,spce
20,MoSDeF,MC,mcccs,waterSPCE,4,300.0,1.0002543966035427,0.007645223435267545,spce
21,MoSDeF,MC,mcccs,pentaneUA-constrain_bonds,5,372.0,0.5416167326677871,0.011890481766921923,trappe-ua
22,MoSDeF,MC,cassandra,waterSPCE,15,320.0,0.9875941432074999,0.007050082482682396,spce
23,MoSDeF,MD,gromacs,benzeneUA,14,450.0,0.6980560330682887,0.021242711710737792,benzene-ua
24,MoSDeF,MC,mcccs,waterSPCE,10,320.0,0.9878857497852018,0.0074285970607334065,spce
25,MoSDeF,MC,mcccs,waterSPCE,9,320.0,0.9864788871765646,0.007831113907871985,spce
26,MoSDeF,MD,hoomd,waterSPCE,14,280.0,1.0066075900885885,0.007273641205333325,spce
27,MoSDeF,MD,hoomd,waterSPCE,15,280.0,1.0066005867432615,0.0073352370896752495,spce
28,MoSDeF,MD,lammps-VU,ethanolAA,12,300.0,0.7955342331607742,0.007213345360981543,oplsaa
29,MoSDeF,MC,cassandra,pentaneUA-constrain_bonds,15,372.0,0.5417956681866667,0.011552371620819941,trappe-ua
30,MoSDeF,MC,cassandra,benzeneUA,11,450.0,0.6990717188149999,0.013750876384214706,benzene-ua
31,MoSDeF,MD,gromacs,pentaneUA-flexible_bonds,4,372.0,0.5346842989922523,0.022244578496881065,trappe-ua
32,MoSDeF,MC,mcccs,benzeneUA,1,450.0,0.698119891105557,0.014117915123281428,benzene-ua
33,MoSDeF,MC,cassandra,methaneUA,12,140.0,0.37609236408583335,0.004465345800305899,trappe-ua
34,MoSDeF,MC,mcccs,benzeneUA,15,450.0,0.6997393581157746,0.013581816392036745,benzene-ua
35,MoSDeF,MC,gomc,waterSPCE,0,280.0,1.0085648553524167,0.006382679541475166,spce
36,MoSDeF,MC,cassandra,ethanolAA,1,320.0,0.7687651442891665,0.008494551347367058,oplsaa
37,MoSDeF,MD,lammps-VU,benzeneUA,10,450.0,0.6978144761714913,0.014634721933328649,benzene-ua
38,MoSDeF,MD,lammps-VU,pentaneUA-flexible_bonds,3,372.0,0.5427838197095058,0.012203235218103308,trappe-ua
39,MoSDeF,MD,hoomd,pentaneUA-constrain_bonds,7,372.0,0.5417106726634254,0.011889526902877789,trappe-ua
40,MoSDeF,MC,gomc,ethanolAA,1,320.0,0.7687967558309168,0.00754859790542189,oplsaa
41,MoSDeF,MC,gomc,methaneUA,1,140.0,0.37575686219591664,0.003907937462065398,trappe-ua
42,MoSDeF,MD,hoomd,pentaneUA-constrain_bonds,13,372.0,0.5415960684114659,0.011917672399489326,trappe-ua
43,MoSDeF,MC,mcccs,ethanolAA,4,320.0,0.7677365421828073,0.008202504131838565,oplsaa
44,MoSDeF,MD,gromacs,methaneUA,7,140.0,0.37603482502962293,0.0043873847230425506,trappe-ua
45,MoSDeF,MD,gromacs,waterSPCE,3,320.0,0.986443324189166,0.008008035026297282,spce
46,MoSDeF,MD,lammps-VU,ethanolAA,7,280.0,0.8157253488381442,0.006685317358559864,oplsaa
47,MoSDeF,MD,lammps-VU,waterSPCE,8,300.0,0.9982354975609357,0.007633766729592482,spce
48,MoSDeF,MC,mcccs,waterSPCE,15,280.0,1.0063895944166315,0.0068376697393401015,spce
49,MoSDeF,MD,hoomd,ethanolAA,8,300.0,0.7935472195034879,0.007205141150939694,oplsaa
50,MoSDeF,MC,cassandra,ethanolAA,0,300.0,0.7897599347408333,0.0070181887157944375,oplsaa
51,MoSDeF,MD,lammps-VU,waterSPCE,1,320.0,0.9862897773740973,0.007735874032295573,spce
52,MoSDeF,MD,gromacs,ethanolAA,14,320.0,0.773536512948875,0.010118899501114647,oplsaa
53,MoSDeF,MC,cassandra,ethanolAA,8,300.0,0.7923249660258335,0.007120878291327886,oplsaa
54,MoSDeF,MC,mcccs,methaneUA,9,140.0,0.37557556553782734,0.004456372600154916,trappe-ua
